Name,Admission Number,Branch,Father's Name,Mother's name,cast,Contact number,DOB,10th CGPA,Inter marks,Eamcet rank,Special Catogory,E.MAIL ID,GENDER
SRAVANI,136,CIVIL,KIRAN,SIREESHA,SC,9102365874,2/5/2002,8.9,967,4358,NCC,sravs@gmail.com,F
RAJITHA,188,CIVIL,SURYA,KIARA,BC-A,9104253867,12/14/2003,9,867,4567,CAP,raji@gmail.com,F
NANDINI,362,EEE,SRIRAM,SITA,OC,9587461022,12/26/2002,10,888,8679,SPORT,nandu@gmail.com,M
SWATHI,363,EEE,KAMAL,VANI,ST,9595682430,7/9/2002,8.5,675,7098,CAP,swathi@gmail.com,F
PRADEEP,222,MECH,SUBBARAO,RANI,ST,9630258741,11/18/2002,8.9,968,9075,NCC,pradeep@gmail.com,M
SUDHEER,253,MECH,VENKAT,DEEPU,BC-E,6358741209,12/12/2002,8.9,957,4567,SPORT,sudheer@gmail.com,M
CHINNI,167,CIVIL,HJDGA,GARC,OC,7647678263,19-3-2001,9,769,7628,NILL,chinni@gmail.com,F
MUNNI,264,MECH,JDDA,IADWD,ST,7638267284,18-8-2002,10,874,8378,NILL,munni@gmail.com,F
SHAFI,385,EEE,UBAJ,KJHA,SC,6548724678,29-8-2002,10,986,9873,NILL,shafi@gmail.com,M
HUS,526,CSE,JHNDKD,SJNJJEF,BC-B,6567783678,30-3-2001,9.3,872,964,NILL,hus@gmail.com,F
KRISHNA,890,CIVIL,YJJKNS,UHKABCM,BC-B,8736726276,18-2-2002,9.8,876,9873,NCC,krish@gmail.com,M
SUMA,108,CIVIL,KJSHJSB,UYCAHJA,OC,7367826786,19-3-2001,9,987,429,NILL,suma@gmail.com,F
RANI,286,MECH,JHBMH,UKJFFEF,ST,7653728766,8/4/2003,9.7,751,8888,CAP,rani@gmail.com,F
CHINNU,364,EEE,UYJUSGF,IJWHBHN,BC-D,9836478265,6/12/2003,9.6,987,3141,NCC,chinnu@gmail.com,M
PAVAN,509,CSE,LKDJSD,JHDBHJW,BC-A,7564897143,10/10/2001,10,957,2452,NILL,pavan@gmail.com,M
BANDI,498,ECE,UGHJS,KIDMHB,OC,8378278676,18-2-2002,10,967,5464,NILL,bandi@gmail.com,M
RAM,293,MECH,JHDMS,RBCNKC,ST,7589640893,3/9/2002,10,962,6753,NILL,ram@gmail.com,M
PRAV,590,CSE,UISKAJ,OSHBX,BC-C,8372761578,5/7/2001,9.3,767,1342,NILL,prav@gmail.com,F
NEHA,528,CSE,JHSBJA,TSFHAVA,OC,8768326867,8/4/2003,8.9,725,8559,NILL,neha@gmail.com,F
HARI,107,CIVIL,UKAHMN,JKUHJ,OC,7369286665,30-3-2001,9.8,987,7595,NILL,hari@gmail.com,F
CHINNA,559,CSE,USHBJH,OGJGDHM,SC,7362786726,8/4/2003,9,984,3463,NCC,chinna@gmail.com,M
